ID,Rating
1,4.5
2,3.0
3,3.0
4,4.0
5,4.0
6,4.0
7,4.0
8,4.0
9,4.0
10,4.0
11,3.5
12,3.5
13,4.0
14,4.0
15,2.5
16,4.0
17,4.0
18,4.0
19,4.0
20,4.0
21,4.0
22,3.5
23,4.0
24,4.0
25,4.0
26,4.0
27,4.0
28,4.5
29,4.0
30,4.5
31,4.0
32,4.0
33,4.5
34,3.0
35,4.0
36,4.0
37,4.5
38,4.0
39,4.5
40,4.0
41,4.0
42,4.0
43,4.0
44,4.0
45,4.0
46,4.0
47,4.0
48,4.0
49,3.5
50,4.0
51,4.0
52,4.0
53,4.0
54,4.0
55,4.0
56,4.5
57,4.5
58,5.0
59,2.5
60,4.0
61,4.0
62,4.0
63,4.0
64,4.0
65,3.0
66,4.0
67,4.5
68,4.0
69,4.5
70,4.5
71,4.0
72,4.0
73,4.0
74,4.0
75,4.0
76,4.0
77,3.0
78,4.0
79,4.0
80,4.0
81,4.0
82,5.0
83,4.0
84,4.0
85,4.5
86,4.0
87,4.5
88,4.0
89,4.0
90,4.0
91,4.0
92,4.0
93,3.0
94,4.0
95,4.0
96,3.5
97,4.0
98,4.0
99,4.0
100,4.0
101,4.0
102,4.0
103,4.0
104,4.0
105,4.0
106,2.5
107,4.5
108,4.5
109,4.5
110,4.0
111,4.0
112,4.0
113,4.5
114,4.5
115,3.5
116,5.0
117,4.5
118,4.0
119,4.0
120,4.5
121,4.0
122,4.0
123,4.0
124,4.0
125,4.5
126,4.0
127,4.0
128,4.0
129,4.5
130,4.0
131,4.0
132,4.0
133,4.0
134,4.0
135,3.5
136,4.0
137,3.0
138,4.0
139,4.5
140,4.0
141,4.0
142,4.0
143,4.0
144,3.5
145,5.0
146,4.0
147,4.5
148,4.0
149,4.0
150,4.0
151,4.0
152,4.0
153,4.0
154,4.0
155,4.5
156,4.0
157,4.0
158,3.5
159,4.0
160,4.0
161,4.0
162,4.0
163,4.0
164,4.0
165,4.0
166,3.5
167,4.0
168,4.0
169,4.0
170,4.0
171,4.0
172,4.5
173,4.0
174,4.0
175,4.0
176,4.5
177,4.0
178,3.5
179,4.0
180,4.0
181,4.0
182,4.0
183,4.0
184,4.5
185,3.5
186,4.5
187,4.0
188,4.0
189,4.0
190,4.0
191,4.0
192,4.5
193,4.0
194,4.0
195,4.0
196,4.0
197,4.0
198,4.0
199,4.0
200,4.0
201,3.5
202,3.0
203,4.0
204,4.0
205,4.0
206,4.5
207,4.0
208,3.0
209,4.0
210,4.0
211,4.0
212,4.0
213,4.0
214,4.5
215,4.0
216,4.5
217,4.0
218,4.0
219,4.5
220,4.0
221,4.5
222,3.5
223,4.0
224,4.0
225,4.5
226,4.0
227,4.0
228,4.0
229,4.0
230,4.0
231,4.0
232,4.0
233,4.5
234,4.5
235,4.5
236,4.0
237,4.0
238,4.0
239,4.0
240,4.0
241,3.5
242,4.0
243,4.0
244,4.0
245,4.0
246,4.5
247,4.0
248,4.5
249,4.5
250,3.5
251,4.5
252,4.0
253,4.0
254,4.0
255,4.0
256,3.5
257,5.0
258,4.0
259,3.0
260,2.5
261,4.0
262,4.0
263,4.5
264,3.5
265,4.0
266,1.0
267,4.0
268,4.5
269,4.0
270,4.0
271,4.0
272,4.0
273,4.0
274,4.0
275,4.0
276,4.0
277,4.5
278,4.0
279,2.5
280,4.5
281,5.0
282,4.0
283,4.0
284,4.0
285,4.0
286,4.0
287,4.5
288,3.5
289,3.5
290,4.0
291,4.0
292,4.0
293,4.0
294,4.0
295,3.5
296,4.5
297,4.5
298,4.0
299,4.0
300,4.5
301,4.0
302,4.0
303,4.0
304,4.0
305,4.0
306,4.0
307,4.0
308,4.5
309,3.0
310,4.0
311,4.0
312,4.0
313,3.5
314,4.0
315,4.5
316,4.0
317,4.0
318,4.0
319,4.0
320,4.5
321,4.5
322,4.0
323,4.0
324,4.5
325,4.0
326,4.0
327,4.0
328,4.0
329,4.0
330,4.0
331,4.5
332,4.0
333,4.0
334,4.0
335,4.0
336,4.0
337,4.0
338,4.0
339,4.0
340,4.0
341,4.0
342,4.0
343,4.0
344,4.5
345,4.0
346,3.0
347,4.5
348,4.0
349,2.5
350,4.5
351,4.0
352,4.0
353,4.5
354,4.0
